site,sdate,gear,utmzone,utm_e,utm_n,temp,fishcode,length,tfs,catch,weight
Santa Fe,9/17/2020,D,15,819880,4115349,23.7,FHCF,183,T,1,62
,10/26/2015,D,16,278948,4133357,16.9,FHCF,183,T,1,88
,8/21/1991,H,15,810489,4128656,25.8,FHCF,184,T,1,55
325,9/28/2022,D,16,282251,4118529,22.3,FHCF,184,T,1,60
,6/30/2023,D,15,822130,4111599,28.2,FHCF,184,T,1,62
M051.9E,10/30/1998,D,15,809210,4134292,16.8,FHCF,184,,1,70
,8/7/1991,H,15,808199,4168914,26,FHCF,185,T,1,55
,8/12/1991,D,15,810109,4156397,25.8,FHCF,185,T,1,75
,8/13/1992,D,15,807473,4163214,26.2,FHCF,187,T,1,55
Cottonwood,10/5/2020,D,15,807529,4167550,20.6,FHCF,187,T,1,59
,9/29/2021,D,15,808729,4128799,23.2,FHCF,187,T,1,136
,8/12/1992,D,16,275798,4125010,29.2,FHCF,188,T,1,50
,9/3/1991,H,15,821510,4111087,26.2,FHCF,189,T,1,52
SANTA FE,8/11/1992,N,15,820498,4114719,26,FHCF,189,T,1,58
SANTA FE,7/29/1992,F,15,820498,4114719,27.1,FHCF,189,T,1,75
,10/16/2020,D,15,808829,4128749,18,FHCF,189,T,1,122
SANTA FE,9/17/2015,D,16,286257,4113002,24,FHCF,189,T,1,164
,7/24/1991,D,15,821616,4108957,30.1,FHCF,190,T,1,65
,8/12/1991,D,15,807513,4164845,27,FHCF,190,T,1,70
SANTA FE,7/29/1992,F,15,818174,4117664,26.5,FHCF,190,T,1,75
,9/21/2018,D,15,809479,4128399,25.3,FHCF,190,T,1,146
MARQ,9/19/2002,D,16,278450,4126852,25.3,FHCF,191,T,1,50
,9/25/1991,D,15,807513,4164845,17.2,FHCF,191,T,1,70
,8/20/1992,D,15,817495,4116734,25.3,FHCF,192,T,1,63
,10/28/1992,D,15,816643,4143917,13.1,FHCF,192,T,1,70
202,10/11/2005,D,16,288404,4104397,19.3,FHCF,192,T,1,130
,8/13/1991,D,15,816643,4143917,26,FHCF,193,T,1,60
,10/27/1992,D,16,275798,4125010,16.6,FHCF,193,T,1,70
,6/30/2023,D,15,822130,4111599,28.2,FHCF,195,T,1,64
Cottonwood,9/23/2019,HS,15,807629,4168900,25.1,FHCF,195,T,1,82
,9/22/1992,F,15,807473,4163214,22.9,FHCF,196,T,1,60
MARQ,7/29/1992,F,15,809111,4131604,26.4,FHCF,196,T,1,60
SANTA FE,7/29/1992,F,15,820498,4114719,27.1,FHCF,196,T,1,73
SANTA FE,7/29/1992,F,15,820498,4114719,27.1,FHCF,196,T,1,75
,9/30/2019,D,15,813929,4125699,23.6,FHCF,197,T,1,86
,9/30/2013,D,15,823230,4104448,23,FHCF,198,T,1,120
,10/4/2019,D,15,821830,4107449,23.2,FHCF,200,T,1,100
MUDDY,9/26/2019,D,15,808293,4164767,24.1,FHCF,201,T,1,89
,7/24/1991,D,15,817495,4116734,29.1,FHCF,202,T,1,85
,8/12/1991,D,15,810109,4156397,25.8,FHCF,202,T,1,90
,9/30/2022,D,15,821930,4105449,21.3,FHCF,203,T,1,74
,9/13/1991,D,15,823725,4104652,26.1,FHCF,203,T,1,75
