Date,Species,TL,Mass,Reach,Agency
11/22/2023,PYOL,708,,3,USFWS
11/20/2023,PYOL,833,,3,USFWS
11/26/2023,PYOL,747,,3,USFWS
11/26/2023,PYOL,890,,3,USFWS
11/26/2023,PYOL,772,,3,USFWS
11/26/2023,PYOL,938,,3,USFWS
11/26/2023,PYOL,934,,3,USFWS
10/26/2023,PYOL,515,,3,USFWS
10/26/2023,PYOL,592,,3,USFWS
10/25/2023,PYOL,629,,3,USFWS
10/25/2023,PYOL,630,,3,USFWS
10/25/2023,PYOL,687,,3,USFWS
10/25/2023,PYOL,580,,3,USFWS
10/25/2023,PYOL,492,,3,USFWS
10/25/2023,PYOL,622,,3,USFWS
11/22/2023,PYOL,627,,3,USFWS
11/22/2023,PYOL,707,,3,USFWS
11/22/2023,PYOL,850,,3,USFWS
11/22/2023,PYOL,810,,3,USFWS
